Product ID,Promotion,Seasonal,Sales Volume,url
185102,Yes,Yes,1243,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html
188771,Yes,No,1429,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html
180176,Yes,Yes,1168,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html
112917,Yes,No,1348,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html
192936,Yes,Yes,1602,https://www.zara.com/us/en/double-faced-jacket-p08281477.html
117590,Yes,Yes,1282,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html
189118,No,No,688,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html
182157,Yes,Yes,1711,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html
141861,No,Yes,857,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html
137121,No,No,769,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html
113143,Yes,Yes,1696,https://www.zara.com/us/en/herringbone-textured-jacket-p08491401.html
140028,Yes,No,1538,https://www.zara.com/us/en/oversized-cropped-jacket-limited-edition-p04304672.html
134693,No,Yes,822,https://www.zara.com/us/en/leather-biker-jacket-p05833412.html
151396,No,No,840,https://www.zara.com/us/en/cropped-leather-jacket-p02521104.html
132889,Yes,Yes,1569,https://www.zara.com/us/en/faux-leather-boxy-fit-jacket-p08281654.html
152174,No,Yes,952,https://www.zara.com/us/en/faux-leather-jacket-p03427320.html
129906,No,Yes,915,https://www.zara.com/us/en/faux-suede-bomber-jacket-p06318600.html
195879,Yes,Yes,1522,https://www.zara.com/us/en/denim-bomber-jacket-p00621400.html
155050,Yes,Yes,1305,https://www.zara.com/us/en/boucle-textured-jacket-p08491402.html
194410,No,No,840,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307443.html
141904,No,No,997,https://www.zara.com/us/en/jacquard-denim-jacket-p07627402.html
124981,No,Yes,857,https://www.zara.com/us/en/padded-denim-jacket-p01538413.html
161909,No,No,982,https://www.zara.com/us/en/leather-jacket-p05479400.html
129152,No,Yes,970,https://www.zara.com/us/en/lightweight-bomber-jacket-p08281315.html
183243,Yes,No,1453,https://www.zara.com/us/en/suit-jacket-p04303266.html
198248,No,No,870,https://www.zara.com/us/en/faux-leather-bomber-jacket-p03918420.html
191230,Yes,No,1533,https://www.zara.com/us/en/patch-bomber-jacket-p03918330.html
187234,No,Yes,807,https://www.zara.com/us/en/stretch-pocket-overshirt-p07484478.html
148888,Yes,Yes,1604,https://www.zara.com/us/en/rib-collar-jacket-p08281410.html
110805,Yes,Yes,1255,https://www.zara.com/us/en/faux-leather-oversized-jacket-limited-edition-p07380310.html
179801,Yes,Yes,1268,https://www.zara.com/us/en/contrasting-patches-bomber-jacket-p06318411.html
134927,No,Yes,1047,https://www.zara.com/us/en/patch-bomber-jacket-p03833404.html
123150,No,Yes,744,https://www.zara.com/us/en/cropped-bomber-jacket-limited-edition-p08281600.html
159145,Yes,Yes,1744,https://www.zara.com/us/en/faux-leather-puffer-jacket-p03833302.html
172364,Yes,Yes,1447,https://www.zara.com/us/en/faux-leather-bomber-jacket-p08281667.html
178281,No,No,911,https://www.zara.com/us/en/bomber-jacket-p06318502.html
194339,Yes,No,1575,https://www.zara.com/us/en/faux-suede-jacket-p08281652.html
174412,Yes,No,1440,https://www.zara.com/us/en/faux-suede-bomber-jacket-p08574500.html
114877,No,Yes,942,https://www.zara.com/us/en/suede-jacket-p02521102.html
140727,No,No,972,https://www.zara.com/us/en/contrasting-collar-jacket-p01538369.html
133109,No,Yes,860,https://www.zara.com/us/en/textured-jacket-p04302457.html
127296,No,No,709,https://www.zara.com/us/en/cropped-textured-jacket-p01538410.html
133757,No,Yes,663,https://www.zara.com/us/en/pocket-puffer-jacket-p08281439.html
111760,No,No,876,https://www.zara.com/us/en/technical-jacket-with-pockets-p03286501.html
198375,Yes,Yes,1284,https://www.zara.com/us/en/faux-leather-jacket-p08281345.html
168837,No,No,871,https://www.zara.com/us/en/faux-suede-jacket-p03548689.html
138505,Yes,Yes,1330,https://www.zara.com/us/en/ripped-denim-jacket-p01538470.html
116228,No,No,880,https://www.zara.com/us/en/textured-pocket-jacket-p03918500.html
167592,No,No,815,https://www.zara.com/us/en/faux-suede-patch-jacket-p08281357.html
133100,No,Yes,851,https://www.zara.com/us/en/puffer-jacket-with-pouch-pocket-p00155401.html
119955,No,No,749,https://www.zara.com/us/en/bomber-jacket-p05039440.html
189349,Yes,No,1211,https://www.zara.com/us/en/textured-weave-overshirt-p01608101.html
127478,No,Yes,899,https://www.zara.com/us/en/straight-suit-jacket-p04143291.html
180661,No,No,908,https://www.zara.com/us/en/hooded-quilted-jacket-p00029501.html
186681,No,No,895,https://www.zara.com/us/en/lightweight-puffer-jacket-p04302520.html
133183,No,Yes,785,https://www.zara.com/us/en/cotton-blend-bomber-jacket-p06518350.html
173508,No,No,735,https://www.zara.com/us/en/pocket-jacket-p06318507.html
187930,No,No,980,https://www.zara.com/us/en/oversized-bomber-jacket-p08281311.html
124088,No,Yes,964,https://www.zara.com/us/en/embroidered-patch-jacket-p05320345.html
190238,No,Yes,826,https://www.zara.com/us/en/acid-wash-denim-jacket-p06688401.html
151925,No,Yes,845,https://www.zara.com/us/en/vintage-effect-leather-bomber-jacket-p02521300.html
163234,No,No,923,https://www.zara.com/us/en/textured-denim-jacket-limited-edition-p01538430.html
135610,Yes,No,1297,https://www.zara.com/us/en/wool-blend-jacket-p09621448.html
117065,No,No,919,https://www.zara.com/us/en/cotton---linen-blend-jacket-p00706103.html
149315,No,No,896,https://www.zara.com/us/en/fleece-bomber-jacket-p08281405.html
149510,No,No,815,https://www.zara.com/us/en/zippered-jacket-p04087418.html
137990,Yes,Yes,1226,https://www.zara.com/us/en/cotton-jacket-p00706301.html
154016,No,Yes,1012,https://www.zara.com/us/en/wool-blend-textured-jacket-p04296310.html
